"y_var","x_model","metric","value"
"prop_genes2_lower_CI","Pan_size","Total model",0.24863
"prop_genes2_lower_CI","Pan_size","tip",0.000456007567137096
"prop_genes2_lower_CI","Pan_size","units",0.00624834936768587
"prop_genes2_lower_CI","Pangenome_fluidity","Fixed effect",0.14968
"prop_genes2_lower_CI","Pangenome_fluidity","Random effect",0.06154
"prop_genes2_lower_CI","Pangenome_fluidity","Total model",0.21122
"prop_genes2_lower_CI","Pangenome_fluidity","tip",0.000506037160090339
"prop_genes2_lower_CI","Pangenome_fluidity","units",0.00648621104094291
"prop_genes2_lower_CI","Total_envs","Fixed effect",0.0212
"prop_genes2_lower_CI","Total_envs","Random effect",0.1096
"prop_genes2_lower_CI","Total_envs","Total model",0.1308
"prop_genes2_lower_CI","Total_envs","tip",0.000927528815651715
"prop_genes2_lower_CI","Total_envs","units",0.00735875906795014
"prop_genes2_upper_CI","Host_or_free","Fixed effect",0.04923
"prop_genes2_upper_CI","Host_or_free","Random effect",0.26292
"prop_genes2_upper_CI","Host_or_free","Total model",0.31215
"prop_genes2_upper_CI","Host_or_free","tip",0.00834382660159422
"prop_genes2_upper_CI","Host_or_free","units",0.0218287152694531
"prop_genes2_upper_CI","Category_primary_env","Fixed effect",0.0172
"prop_genes2_upper_CI","Category_primary_env","Random effect",0.2735
"prop_genes2_upper_CI","Category_primary_env","Total model",0.2907
"prop_genes2_upper_CI","Category_primary_env","tip",0.00861882459398143
"prop_genes2_upper_CI","Category_primary_env","units",0.0223479644237019
"prop_genes2_upper_CI","Obligate_facultative","Fixed effect",0.05882
"prop_genes2_upper_CI","Obligate_facultative","Random effect",0.25854
"prop_genes2_upper_CI","Obligate_facultative","Total model",0.31736
"prop_genes2_upper_CI","Obligate_facultative","tip",0.00809852705327813
"prop_genes2_upper_CI","Obligate_facultative","units",0.0213834703802601
"prop_genes2_upper_CI","Intra_or_extracellular","Fixed effect",0.0403
"prop_genes2_upper_CI","Intra_or_extracellular","Random effect",0.1889
"prop_genes2_upper_CI","Intra_or_extracellular","Total model",0.2292
"prop_genes2_upper_CI","Intra_or_extracellular","tip",0.00563277126964755
"prop_genes2_upper_CI","Intra_or_extracellular","units",0.0229878700808957
"prop_genes2_upper_CI","Effect_on_host","Fixed effect",0.1321
"prop_genes2_upper_CI","Effect_on_host","Random effect",0.323
"prop_genes2_upper_CI","Effect_on_host","Total model",0.4551
"prop_genes2_upper_CI","Effect_on_host","tip",0.0108273685452632
"prop_genes2_upper_CI","Effect_on_host","units",0.0182643129489792
"prop_genes2_upper_CI","Motility","Fixed effect",0.01336
"prop_genes2_upper_CI","Motility","Random effect",0.26953
"prop_genes2_upper_CI","Motility","Total model",0.28289
"prop_genes2_upper_CI","Motility","tip",0.00852519008051566
"prop_genes2_upper_CI","Motility","units",0.0226822556057046
"prop_genes2_upper_CI","combined","Fixed effect",0.1464
"prop_genes2_upper_CI","combined","Random effect",0.3557
"prop_genes2_upper_CI","combined","Total model",0.5021
"prop_genes2_upper_CI","combined","tip",0.0134223345426733
"prop_genes2_upper_CI","combined","units",0.0187878039615355
"prop_genes2_upper_CI","NE","Fixed effect",0.003645
"prop_genes2_upper_CI","NE","Random effect",0.140271
"prop_genes2_upper_CI","NE","Total model",0.143916
"prop_genes2_upper_CI","NE","tip",0.0037138383425517
"prop_genes2_upper_CI","NE","units",0.0226658985800774
"prop_genes2_upper_CI","Genome_size","Fixed effect",0.0005217
"prop_genes2_upper_CI","Genome_size","Random effect",0.2689973
"prop_genes2_upper_CI","Genome_size","Total model",0.2695191
"prop_genes2_upper_CI","Genome_size","tip",0.00846645794803895
"prop_genes2_upper_CI","Genome_size","units",0.022991252155858
"prop_genes2_upper_CI","Pan_size","Fixed effect",0.04249
"prop_genes2_upper_CI","Pan_size","Random effect",0.25805
"prop_genes2_upper_CI","Pan_size","Total model",0.30054
"prop_genes2_upper_CI","Pan_size","tip",0.00808957619316295
"prop_genes2_upper_CI","Pan_size","units",0.0219276895014791
"prop_genes2_upper_CI","Pangenome_fluidity","Fixed effect",0.1753
"prop_genes2_upper_CI","Pangenome_fluidity","Random effect",0.1063
"prop_genes2_upper_CI","Pangenome_fluidity","Total model",0.2816
"prop_genes2_upper_CI","Pangenome_fluidity","tip",0.00311033496696662
"prop_genes2_upper_CI","Pangenome_fluidity","units",0.021013986468166
"prop_genes2_upper_CI","Total_envs","Fixed effect",0.0008472
"prop_genes2_upper_CI","Total_envs","Random effect",0.2457099
"prop_genes2_upper_CI","Total_envs","Total model",0.2465571
"prop_genes2_upper_CI","Total_envs","tip",0.00758730920508606
"prop_genes2_upper_CI","Total_envs","units",0.0232656677792852
