"y_var","x_model","metric","value"
"rate_genes1_median","Rare_genes","Total model",0.05182
"rate_genes1_median","Rare_genes","units",3.50951821115268e-05
"rate_genes1_upper_CI","Avg_gene_freq","Fixed effect",0.0001141
"rate_genes1_upper_CI","Avg_gene_freq","Random effect",0.0111053
"rate_genes1_upper_CI","Avg_gene_freq","tip",8.20184263030803e-05
"rate_genes1_upper_CI","Avg_gene_freq","Total model",0.0112194
"rate_genes1_upper_CI","Avg_gene_freq","units",0.00730265361944716
"rate_genes1_upper_CI","Core_genes","Fixed effect",2.715e-05
"rate_genes1_upper_CI","Core_genes","Random effect",0.01156
"rate_genes1_upper_CI","Core_genes","tip",8.54603287182549e-05
"rate_genes1_upper_CI","Core_genes","Total model",0.01159
"rate_genes1_upper_CI","Core_genes","units",0.00730473424923887
"rate_genes1_upper_CI","Intermediate_genes","Fixed effect",0.002405
"rate_genes1_upper_CI","Intermediate_genes","Random effect",0.011875
"rate_genes1_upper_CI","Intermediate_genes","tip",8.77340595697615e-05
"rate_genes1_upper_CI","Intermediate_genes","Total model",0.01428
"rate_genes1_upper_CI","Intermediate_genes","units",0.007282693453443
"rate_genes1_upper_CI","Pangenome_size","Fixed effect",4.692e-05
"rate_genes1_upper_CI","Pangenome_size","Random effect",0.01209
"rate_genes1_upper_CI","Pangenome_size","tip",8.92941084627631e-05
"rate_genes1_upper_CI","Pangenome_size","Total model",0.01214
"rate_genes1_upper_CI","Pangenome_size","units",0.00729376946559647
"rate_genes1_upper_CI","Rare_genes","Fixed effect",0.001427
"rate_genes1_upper_CI","Rare_genes","Random effect",0.011418
"rate_genes1_upper_CI","Rare_genes","tip",8.43625504680645e-05
"rate_genes1_upper_CI","Rare_genes","Total model",0.012846
"rate_genes1_upper_CI","Rare_genes","units",0.00729347090080395
