core_mu,prop_genes2,rate_genes1,discrepancy
9.653160707456092e-09,0.0,0.00022964043958871079,-0.12428786876696966
3.4712678357484344e-08,0.0,0.00027870393235848387,-0.1654178029844495
3.932964327078377e-08,0.0,0.0001065234476156422,-0.18072447466918456
1.1678233362246118e-09,0.0,0.0002801776345907397,0.004772023154062672
1.3248764365696929e-08,0.0,0.00014478253852142736,-0.15283139704536447
2.195279587964006e-09,0.0,9.78870718635826e-05,-0.05670077295287539
9.470329719065206e-08,0.0,8.772637205744881e-05,-0.18313936890391713
1.887614884101607e-08,0.0,0.00014390572238688455,-0.16509065026640862
4.685905140200384e-07,0.0,0.00024894330593931566,-0.117129008556339
6.500150766980906e-08,0.0,2.2940890108035734e-05,-0.17767088563143807
5.997652925509766e-07,0.0,0.0001138993228264447,-0.11675791174637774
4.4641350586938095e-07,0.0,6.264947000360281e-05,-0.18060445318971283
1.1729716362615418e-07,0.0,4.108187397058255e-05,-0.20563012124652572
2.6896324667228097e-08,0.0,0.0002473436183680761,-0.225529331145432
2.3347118195122124e-07,0.0,9.179275867674761e-05,-0.24377729121804667
3.185934293969954e-07,0.0,1.0540014864445687e-05,-0.18264121838751227
3.850624056352608e-07,0.0,9.868230809764501e-05,-0.17766413116447444
3.7493075235461676e-07,0.0,0.00042192695308534045,-0.175794459786375
0.00010497003197778135,0.0,0.6484735214604392,0.13238066708760932
0.00015548781322437973,0.0,0.3954876178797239,0.13238066708760932
0.0009166865413352065,0.0,0.42362204869088177,0.13238066708760932
0.0009136133371305974,0.0,0.45882526132584683,0.13238066708760932
0.00043380331936083115,0.0,0.41704117889108244,0.13238066708760932
0.00046572111953918904,0.0,0.7682683968014661,0.13238066708760932
0.0008729872209860427,0.0,0.7640000205408307,0.13238066708760932
0.00045890125671984775,0.0,0.3402076634144256,0.13238066708760932
0.00012464263323133952,0.0,0.6444756182129269,0.13238066708760932
0.0005361016594664609,0.0,0.506331397512934,0.13238066708760932
2.5300583326908605e-07,0.0,3.182165323734075e-05,-0.2184283813598504
1.2811323825558025e-07,0.0,1.3168417520833304e-05,-0.2532983019007403
1.189386898095387e-06,0.0,1.3380423663246001e-05,0.039676120895325434
8.112903397582974e-07,0.0,1.1972331975164428e-05,-0.04220551705274125
2.0749552517720225e-07,0.0,1.196717353915453e-05,-0.2418453519840499
